phylum,class,order,family,genus
 Actinobacteria,Actinobacteria,Actinomycetales,Actinospicaceae,
 Actinobacteria,Actinobacteria,Actinomycetales,Actinosynnemataceae,Actinoalloteichus
 Actinobacteria,Actinobacteria,Actinomycetales,Actinosynnemataceae,Actinokineospora
 Actinobacteria,Actinobacteria,Actinomycetales,Actinosynnemataceae,Kibdelosporangium
 Actinobacteria,Actinobacteria,Actinomycetales,Actinosynnemataceae,Kutzneria
 Actinobacteria,Actinobacteria,Actinomycetales,Actinosynnemataceae,Lentzea
 Actinobacteria,Actinobacteria,Actinomycetales,Actinosynnemataceae,Lentzea
 Actinobacteria,Actinobacteria,Actinomycetales,Actinosynnemataceae,Lentzea
 Actinobacteria,Actinobacteria,Actinomycetales,Actinosynnemataceae,Saccharothrix
 Actinobacteria,Actinobacteria,Actinomycetales,Actinosynnemataceae,
 Actinobacteria,Actinobacteria,Actinomycetales,Beutenbergiaceae,
 Actinobacteria,Actinobacteria,Actinomycetales,Bogoriellaceae,Georgenia
 Actinobacteria,Actinobacteria,Actinomycetales,Brevibacteriaceae,Brevibacterium
 Actinobacteria,Actinobacteria,Actinomycetales,Brevibacteriaceae,Brevibacterium
 Actinobacteria,Actinobacteria,Actinomycetales,Brevibacteriaceae,Brevibacterium
 Actinobacteria,Actinobacteria,Actinomycetales,Brevibacteriaceae,Brevibacterium
 Actinobacteria,Actinobacteria,Actinomycetales,Brevibacteriaceae,
 Actinobacteria,Actinobacteria,Actinomycetales,Cellulomonadaceae,Actinotalea
 Actinobacteria,Actinobacteria,Actinomycetales,Cellulomonadaceae,Cellulomonas
 Actinobacteria,Actinobacteria,Actinomycetales,Cellulomonadaceae,Cellulomonas
 Actinobacteria,Actinobacteria,Actinomycetales,Cellulomonadaceae,Cellulomonas
 Actinobacteria,Actinobacteria,Actinomycetales,Cellulomonadaceae,Demequina
 Actinobacteria,Actinobacteria,Actinomycetales,Cellulomonadaceae,Oerskovia
 Actinobacteria,Actinobacteria,Actinomycetales,Cellulomonadaceae,
 Actinobacteria,Actinobacteria,Actinomycetales,Corynebacteriaceae,Corynebacterium
 Actinobacteria,Actinobacteria,Actinomycetales,Corynebacteriaceae,Corynebacterium
 Actinobacteria,Actinobacteria,Actinomycetales,Corynebacteriaceae,Corynebacterium
 Actinobacteria,Actinobacteria,Actinomycetales,Corynebacteriaceae,Corynebacterium
 Actinobacteria,Actinobacteria,Actinomycetales,Corynebacteriaceae,Corynebacterium
 Actinobacteria,Actinobacteria,Actinomycetales,Corynebacteriaceae,Corynebacterium
 Actinobacteria,Actinobacteria,Actinomycetales,Corynebacteriaceae,Corynebacterium
 Actinobacteria,Actinobacteria,Actinomycetales,Corynebacteriaceae,Corynebacterium
