phylum,class,order,family,genus,value
Cyanobacteria,Nostocophycideae,Nostocales,Nostocaceae,Nodularia,27
Cyanobacteria,Nostocophycideae,Nostocales,Nostocaceae,Nostoc,152
Cyanobacteria,Nostocophycideae,Nostocales,Nostocaceae,Trichormus,17
Cyanobacteria,Oscillatoriophycideae,Chroococcales,Cyanobacteriaceae,Crocosphaera,82
Cyanobacteria,Oscillatoriophycideae,Chroococcales,Cyanobacteriaceae,Cyanothece,272
Cyanobacteria,Oscillatoriophycideae,Chroococcales,Microcystaceae,Microcystis,121
Cyanobacteria,Oscillatoriophycideae,Oscillatoriales,Oscillatoriaceae,Lyngbya,61
Cyanobacteria,Oscillatoriophycideae,Oscillatoriales,Phormidiaceae,Microcoleus,75
Cyanobacteria,Oscillatoriophycideae,Oscillatoriales,Phormidiaceae,Oscillatoria,37
Cyanobacteria,Oscillatoriophycideae,Oscillatoriales,Phormidiaceae,Trichodesmium,89
Cyanobacteria,Synechococcophycideae,Pseudanabaenales,Pseudanabaenaceae,Leptolyngbya,2
Cyanobacteria,Synechococcophycideae,Synechococcales,Acaryochloridaceae,Acaryochloris,93
Cyanobacteria,Synechococcophycideae,Synechococcales,Acaryochloridaceae,Thermosynechococcus,78
Cyanobacteria,Synechococcophycideae,Synechococcales,Synechococcaceae,Prochlorococcus,92
Cyanobacteria,Synechococcophycideae,Synechococcales,Synechococcaceae,Synechococcus,391
Deferribacteres,Deferribacteres,Deferribacterales,Deferribacteraceae,Deferribacter,41
Dictyoglomi,Dictyoglomia,Dictyoglomales,Dictyoglomaceae,Dictyoglomus,77
Elusimicrobia,Elusimicrobia,Elusimicrobiales,Elusimicrobiaceae,Elusimicrobium,99
Euryarchaeota,Archaeoglobi,Archaeoglobales,Archaeoglobaceae,Archaeoglobus,21
Euryarchaeota,Halobacteria,Halobacteriales,Halobacteriaceae,Haladaptatus,4
Euryarchaeota,Halobacteria,Halobacteriales,Halobacteriaceae,Haloarcula,2
Euryarchaeota,Halobacteria,Halobacteriales,Halobacteriaceae,Halobacterium,5
Euryarchaeota,Halobacteria,Halobacteriales,Halobacteriaceae,Haloferax,1
Euryarchaeota,Halobacteria,Halobacteriales,Halobacteriaceae,Halogeometricum,2
Euryarchaeota,Halobacteria,Halobacteriales,Halobacteriaceae,Halomicrobium,6
Euryarchaeota,Halobacteria,Halobacteriales,Halobacteriaceae,Haloquadratum,5
Euryarchaeota,Halobacteria,Halobacteriales,Halobacteriaceae,Halorhabdus,6
Euryarchaeota,Halobacteria,Halobacteriales,Halobacteriaceae,Halorubrum,9
Euryarchaeota,Halobacteria,Halobacteriales,Halobacteriaceae,Haloterrigena,8
Euryarchaeota,Halobacteria,Halobacteriales,Halobacteriaceae,Natronomonas,7
Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobrevibacter,123
Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanosphaera,12
Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanothermobacter,27
Euryarchaeota,Methanococci,Methanococcales,Methanocaldococcaceae,Methanocaldococcus,45
Euryarchaeota,Methanococci,Methanococcales,Methanococcaceae,Methanococcus,65
Euryarchaeota,Methanococci,Methanococcales,Methanococcaceae,Methanothermococcus,2
Euryarchaeota,Methanomicrobia,Methanocellales,Methanocellaceae,Methanocella,6
Euryarchaeota,Methanomicrobia,Methanomicrobiales,Methanocorpusculaceae,Methanocorpusculum,60
Euryarchaeota,Methanomicrobia,Methanomicrobiales,Methanomicrobiaceae,Methanoculleus,9
Euryarchaeota,Methanomicrobia,Methanomicrobiales,Methanomicrobiaceae,Methanoplanus,38
Euryarchaeota,Methanomicrobia,Methanomicrobiales,Methanospirillaceae,Methanospirillum,42
